Uniprot Accession	Description	Gene name	MW [kDa]	COG class	Annotated functional COG group (description)	Annotated functional COG class
P39172	High-affinity zinc uptake system protein znuA OS=Escherichia coli (strain K12) GN=znuA PE=1 SV=4	znuA	33.73819213	P	Inorganic ion transport and metabolism	METABOLISM
P0A6L9	Co-chaperone protein hscB OS=Escherichia coli (strain K12) GN=hscB PE=1 SV=1	hscB	20.10715818	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P42620	Uncharacterized protein yqjG OS=Escherichia coli (strain K12) GN=yqjG PE=3 SV=1	yqjG	37.34461414	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A746	Peptide methionine sulfoxide reductase msrB OS=Escherichia coli (strain K12) GN=msrB PE=1 SV=1	msrB	15.42322096	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P76104	Uncharacterized protease ydcP OS=Escherichia coli (strain K12) GN=ydcP PE=1 SV=2	ydcP	72.63830677	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P02918	Penicillin-binding protein 1A OS=Escherichia coli (strain K12) GN=mrcA PE=1 SV=1	mrcA	93.55940765	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A917	Outer membrane protein X OS=Escherichia coli (strain K12) GN=ompX PE=1 SV=1	ompX	18.57291003	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A905	Outer membrane lipoprotein slyB OS=Escherichia coli (strain K12) GN=slyB PE=2 SV=1	slyB	15.57405822	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P76397	Multidrug resistance protein mdtA OS=Escherichia coli (strain K12) GN=mdtA PE=2 SV=2	mdtA	44.41935351	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0C0S1	Small-conductance mechanosensitive channel OS=Escherichia coli (strain K12) GN=mscS PE=1 SV=1	mscS	30.8586734	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0A6W5	Transcription elongation factor greA OS=Escherichia coli (strain K12) GN=greA PE=1 SV=1	greA	17.61206622	K	Transcription	INFORMATION STORAGE AND PROCESSING
P13445	RNA polymerase sigma factor rpoS OS=Escherichia coli (strain K12) GN=rpoS PE=3 SV=3	rpoS	37.93072627	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ABF1	Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2	pcnB	53.81905532	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7J3	50S ribosomal protein L10 OS=Escherichia coli (strain K12) GN=rplJ PE=1 SV=2	rplJ	17.68237957	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AA10	50S ribosomal protein L13 OS=Escherichia coli (strain K12) GN=rplM PE=1 SV=1	rplM	15.99053156	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7K6	50S ribosomal protein L19 OS=Escherichia coli (strain K12) GN=rplS PE=1 SV=2	rplS	13.10718035	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AA43	Ribosomal small subunit pseudouridine synthase A OS=Escherichia coli (strain K12) GN=rsuA PE=1 SV=1	rsuA	25.83122795	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P00960	Glycyl-tRNA synthetase alpha subunit OS=Escherichia coli (strain K12) GN=glyQ PE=1 SV=2	glyQ	34.73416	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0ADB1	Osmotically-inducible lipoprotein E OS=Escherichia coli (strain K12) GN=osmE PE=2 SV=1	osmE	11.99489181	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P37440	Oxidoreductase ucpA OS=Escherichia coli (strain K12) GN=ucpA PE=1 SV=3	ucpA	27.81433763	IQR	Lipid transport and metabolism	METABOLISM
P12996	Biotin synthase OS=Escherichia coli (strain K12) GN=bioB PE=1 SV=2	bioB	38.60523075	H	Coenzyme transport and metabolism	METABOLISM
P60716	Lipoyl synthase OS=Escherichia coli (strain K12) GN=lipA PE=1 SV=1	lipA	36.03034041	H	Coenzyme transport and metabolism	METABOLISM
P0AFU8	Riboflavin synthase alpha chain OS=Escherichia coli (strain K12) GN=ribE PE=1 SV=1	ribC	23.41201845	H	Coenzyme transport and metabolism	METABOLISM
P0AEN1	NAD(P)H-flavin reductase OS=Escherichia coli (strain K12) GN=fre PE=1 SV=2	fre	26.20732303	HC	Coenzyme transport and metabolism	METABOLISM
P0AC86	Glycogen phosphorylase OS=Escherichia coli (strain K12) GN=glgP PE=3 SV=1	glgP	93.09609715	G	Carbohydrate transport and metabolism	METABOLISM
P0AF18	N-acetylglucosamine-6-phosphate deacetylase OS=Escherichia coli (strain K12) GN=nagA PE=1 SV=1	nagA	40.90511211	G	Carbohydrate transport and metabolism	METABOLISM
P0AF24	Protein nagD OS=Escherichia coli (strain K12) GN=nagD PE=1 SV=1	nagD	27.12768109	G	Carbohydrate transport and metabolism	METABOLISM
P09099	Xylulose kinase OS=Escherichia coli (strain K12) GN=xylB PE=1 SV=1	xylB	52.56657799	G	Carbohydrate transport and metabolism	METABOLISM
P39173	Putative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) GN=yeaD PE=1 SV=2	yeaD	32.62764631	G	Carbohydrate transport and metabolism	METABOLISM
P15067	Glycogen debranching enzyme OS=Escherichia coli (strain K12) GN=glgX PE=1 SV=3	glgX	73.51246612	G	Carbohydrate transport and metabolism	METABOLISM
P68187	Maltose/maltodextrin import ATP-binding protein MalK OS=Escherichia coli (strain K12) GN=malK PE=1 SV=1	malK	40.94659286	G	Carbohydrate transport and metabolism	METABOLISM
P04983	Ribose import ATP-binding protein RbsA OS=Escherichia coli (strain K12) GN=rbsA PE=1 SV=1	rbsA	54.98872377	G	Carbohydrate transport and metabolism	METABOLISM
P37387	D-xylose-binding periplasmic protein OS=Escherichia coli (strain K12) GN=xylF PE=1 SV=1	xylF	35.6937284	G	Carbohydrate transport and metabolism	METABOLISM
P0ABF6	Cytidine deaminase OS=Escherichia coli (strain K12) GN=cdd PE=1 SV=1	cdd	31.50189874	F	Nucleotide transport and metabolism	METABOLISM
P0A9M2	Hypoxanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=hpt PE=1 SV=1	hpt	20.08439054	F	Nucleotide transport and metabolism	METABOLISM
P0A8F4	Uridine kinase OS=Escherichia coli (strain K12) GN=udk PE=3 SV=1	udk	24.3195763	F	Nucleotide transport and metabolism	METABOLISM
P69924	Ribonucleoside-diphosphate reductase 1 subunit beta OS=Escherichia coli (strain K12) GN=nrdB PE=1 SV=2	nrdB	43.47170663	F	Nucleotide transport and metabolism	METABOLISM
P0A7F3	Aspartate carbamoyltransferase regulatory chain OS=Escherichia coli (strain K12) GN=pyrI PE=1 SV=2	pyrI	17.09187674	F	Nucleotide transport and metabolism	METABOLISM
P04391	Ornithine carbamoyltransferase chain I OS=Escherichia coli (strain K12) GN=argI PE=1 SV=3	argI	36.8654917	E	Amino acid transport and metabolism	METABOLISM
P07623	Homoserine O-succinyltransferase OS=Escherichia coli (strain K12) GN=metA PE=1 SV=4	metA	35.68696076	E	Amino acid transport and metabolism	METABOLISM
P0A7F6	S-adenosylmethionine decarboxylase proenzyme OS=Escherichia coli (strain K12) GN=speD PE=1 SV=1	speD	30.34705278	E	Amino acid transport and metabolism	METABOLISM
P0ADT5	Uncharacterized protein ygiC OS=Escherichia coli (strain K12) GN=ygiC PE=4 SV=1	ygiC	44.9791626	E	Amino acid transport and metabolism	METABOLISM
P0A9S3	Galactitol-1-phosphate 5-dehydrogenase OS=Escherichia coli (strain K12) GN=gatD PE=3 SV=1	gatD	37.34825439	ER	Amino acid transport and metabolism	METABOLISM
P00894	Acetolactate synthase isozyme 3 small subunit OS=Escherichia coli (strain K12) GN=ilvH PE=1 SV=3	ilvH	17.94767665	E	Amino acid transport and metabolism	METABOLISM
P0A9S7	High-affinity branched-chain amino acid transport ATP-binding protein LivG OS=Escherichia coli (strain K12) GN=livG PE=3 SV=1	livG	28.39087056	E	Amino acid transport and metabolism	METABOLISM
P77737	Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1	oppF	37.15562253	E	Amino acid transport and metabolism	METABOLISM
P75914	Putative hydrolase ycdX OS=Escherichia coli (strain K12) GN=ycdX PE=1 SV=1	ycdX	26.85538893	ER	Amino acid transport and metabolism	METABOLISM
P29131	Cell division protein ftsN OS=Escherichia coli (strain K12) GN=ftsN PE=1 SV=3	ftsN	35.75337745	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0AF08	Protein mrp OS=Escherichia coli (strain K12) GN=mrp PE=3 SV=1	mrp	39.89451587	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0A6U3	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG OS=Escherichia coli (strain K12) GN=mnmG PE=1 SV=1	mnmG	69.45973837	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0ACD4	NifU-like protein OS=Escherichia coli (strain K12) GN=nifU PE=1 SV=1	iscU	13.82184619	C	Energy production and conversion	METABOLISM
P33232	L-lactate dehydrogenase [cytochrome] OS=Escherichia coli (strain K12) GN=lldD PE=1 SV=1	lldD	42.6829454	C	Energy production and conversion	METABOLISM
P0AFC7	NADH-quinone oxidoreductase subunit B OS=Escherichia coli (strain K12) GN=nuoB PE=1 SV=1	nuoB	25.02138614	C	Energy production and conversion	METABOLISM
P0A6E6	ATP synthase epsilon chain OS=Escherichia coli (strain K12) GN=atpC PE=1 SV=2	atpC	15.04073788	C	Energy production and conversion	METABOLISM
P00363	Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) GN=frdA PE=1 SV=3	frdA	65.91164933	C	Energy production and conversion	METABOLISM
P52647	Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2	ydbK	128.725189	C	Energy production and conversion	METABOLISM
P37749	Uncharacterized protein yefG OS=Escherichia coli (strain K12) GN=yefG PE=4 SV=1	wbbI	37.71506647	-		
P62768	UPF0325 protein yaeH OS=Escherichia coli (strain K12) GN=yaeH PE=3 SV=1	yaeH	15.06891436	-		
P27305	Glutamyl-Q tRNA(Asp) synthetase OS=Escherichia coli (strain K12) GN=gluQ PE=1 SV=6	gluQ	34.82785594	-		
P13016	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD OS=Escherichia coli (strain K12) GN=ampD PE=2 SV=1	ampD	20.50515669	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P77619	UPF0214 protein yfeW OS=Escherichia coli (strain K12) GN=yfeW PE=3 SV=2	yfeW	47.70404158	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P69425	Sec-independent protein translocase protein tatB OS=Escherichia coli (strain K12) GN=tatB PE=1 SV=1	tatB	18.39155204	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P77754	Spheroplast protein Y OS=Escherichia coli (strain K12) GN=spy PE=1 SV=1	spy	18.16928381	UNTP	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AEC3	Aerobic respiration control sensor protein ArcB OS=Escherichia coli (strain K12) GN=arcB PE=1 SV=1	arcB	87.90964099	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P15078	Carbon starvation protein A OS=Escherichia coli (strain K12) GN=cstA PE=1 SV=3	cstA	75.03756526	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
P45955	Uncharacterized protein YbgF OS=Escherichia coli (strain K12) GN=ybgF PE=1 SV=2	ybgF	28.1961354	S	Function unknown	POORLY CHARACTERIZED
P27431	Uncharacterized protein ycfD OS=Escherichia coli (strain K12) GN=ycfD PE=4 SV=2	ycfD	42.53403822	S	Function unknown	POORLY CHARACTERIZED
P76576	UPF0070 protein yfgM OS=Escherichia coli (strain K12) GN=yfgM PE=3 SV=1	yfgM	22.1444226	S	Function unknown	POORLY CHARACTERIZED
P0A8A4	Putative phosphotransferase ydiA OS=Escherichia coli (strain K12) GN=ydiA PE=1 SV=1	ppsR	31.17313955	S	Function unknown	POORLY CHARACTERIZED
P76187	Oxidoreductase YdhF OS=Escherichia coli (strain K12) GN=ydhF PE=1 SV=2	ydhF	33.63633205	R	General function prediction only	POORLY CHARACTERIZED
P32705	Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1	actP	59.14038198	R	General function prediction only	POORLY CHARACTERIZED
P56262	Putative carboxymethylenebutenolidase OS=Escherichia coli (strain K12) GN=ysgA PE=3 SV=3	ysgA	29.38878696	Q	Secondary metabolites biosynthesis, transport and catabolism	METABOLISM
P0A998	Ferritin-1 OS=Escherichia coli (strain K12) GN=ftnA PE=1 SV=1	ftnA	19.39338241	P	Inorganic ion transport and metabolism	METABOLISM
P36659	Curved DNA-binding protein OS=Escherichia coli (strain K12) GN=cbpA PE=1 SV=2	cbpA	34.4157121	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P23869	Peptidyl-prolyl cis-trans isomerase B OS=Escherichia coli (strain K12) GN=ppiB PE=1 SV=2	ppiB	18.12388314	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A9K9	FKBP-type peptidyl-prolyl cis-trans isomerase slyD OS=Escherichia coli (strain K12) GN=slyD PE=1 SV=1	slyD	20.82168491	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P77395	Uncharacterized protein ybbN OS=Escherichia coli (strain K12) GN=ybbN PE=1 SV=2	ybbN	31.75332557	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P30870	Glutamate-ammonia-ligase adenylyltransferase OS=Escherichia coli (strain K12) GN=glnE PE=1 SV=2	glnE	108.3321443	OT	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0A6G7	ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli (strain K12) GN=clpP PE=1 SV=1	clpP	23.15361161	OU	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P0C0L2	Peroxiredoxin osmC OS=Escherichia coli (strain K12) GN=osmC PE=1 SV=2	osmC	15.06065425	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P05852	Probable O-sialoglycoprotein endopeptidase OS=Escherichia coli (strain K12) GN=gcp PE=3 SV=2	tsaD	35.96752524	O	Posttranslational modification, protein turnover, chaperones	CELLULAR PROCESSES AND SIGNALING
P04951	3-deoxy-manno-octulosonate cytidylyltransferase OS=Escherichia coli (strain K12) GN=kdsB PE=1 SV=2	kdsB	27.57908508	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P0ADA3	Lipoprotein nlpD OS=Escherichia coli (strain K12) GN=nlpD PE=1 SV=1	nlpD	40.10635568	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P25740	Lipopolysaccharide core biosynthesis protein rfaG OS=Escherichia coli (strain K12) GN=rfaG PE=1 SV=1	rfaG	42.23946311	M	Cell wall/membrane/envelope biogenesis	CELLULAR PROCESSES AND SIGNALING
P75864	Ribosomal RNA large subunit methyltransferase L OS=Escherichia coli (strain K12) GN=rlmL PE=1 SV=1	rlmL	78.78650342	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A812	Holliday junction ATP-dependent DNA helicase ruvB OS=Escherichia coli (strain K12) GN=ruvB PE=1 SV=1	ruvB	37.13236379	L	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P45799	ADP compounds hydrolase nudE OS=Escherichia coli (strain K12) GN=nudE PE=1 SV=1	nudE	21.12178293	LR	Replication, recombination and repair	INFORMATION STORAGE AND PROCESSING
P0A780	N utilization substance protein B OS=Escherichia coli (strain K12) GN=nusB PE=1 SV=1	nusB	15.66127427	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A7Y0	Ribonuclease 3 OS=Escherichia coli (strain K12) GN=rnc PE=1 SV=1	rnc	25.51629773	K	Transcription	INFORMATION STORAGE AND PROCESSING
P75960	NAD-dependent deacetylase OS=Escherichia coli (strain K12) GN=cobB PE=1 SV=2	cobB	26.68142664	K	Transcription	INFORMATION STORAGE AND PROCESSING
P24255	RNA polymerase sigma-54 factor OS=Escherichia coli (strain K12) GN=rpoN PE=3 SV=2	rpoN	53.93838989	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A800	DNA-directed RNA polymerase subunit omega OS=Escherichia coli (strain K12) GN=rpoZ PE=1 SV=1	rpoZ	10.21237872	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACM5	Uncharacterized HTH-type transcriptional regulator yegW OS=Escherichia coli (strain K12) GN=yegW PE=1 SV=1	yegW	28.24168027	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0ACP1	Fructose repressor OS=Escherichia coli (strain K12) GN=fruR PE=1 SV=1	cra	37.95771142	K	Transcription	INFORMATION STORAGE AND PROCESSING
P0A6N4	Elongation factor P OS=Escherichia coli (strain K12) GN=efp PE=1 SV=2	efp	20.56041097	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7R1	50S ribosomal protein L9 OS=Escherichia coli (strain K12) GN=rplI PE=1 SV=1	rplI	15.74146941	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7K2	50S ribosomal protein L7/L12 OS=Escherichia coli (strain K12) GN=rplL PE=1 SV=2	rplL	12.26950186	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A7M2	50S ribosomal protein L28 OS=Escherichia coli (strain K12) GN=rpmB PE=1 SV=2	rpmB	8.98286292	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AG51	50S ribosomal protein L30 OS=Escherichia coli (strain K12) GN=rpmD PE=1 SV=2	rpmD	6.51963478	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P39406	Ribosomal RNA small subunit methyltransferase C OS=Escherichia coli (strain K12) GN=rsmC PE=1 SV=3	rsmC	37.58310489	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P32695	tRNA-dihydrouridine synthase A OS=Escherichia coli (strain K12) GN=dusA PE=3 SV=3	dusA	36.76840073	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0A6N8	Elongation factor P-like protein OS=Escherichia coli (strain K12) GN=yeiP PE=1 SV=1	yeiP	21.50097054	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P0AGJ5	Uncharacterized tRNA/rRNA methyltransferase YfiF OS=Escherichia coli (strain K12) GN=yfiF PE=3 SV=1	yfiF	37.74303444	J	Translation, ribosomal structure and biogenesis	INFORMATION STORAGE AND PROCESSING
P45568	1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Escherichia coli (strain K12) GN=dxr PE=1 SV=2	dxr	43.34190222	I	Lipid transport and metabolism	METABOLISM
P15047	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase OS=Escherichia coli (strain K12) GN=entA PE=1 SV=1	entA	26.21526623	IQR	Lipid transport and metabolism	METABOLISM
P0A6I3	Pantothenate kinase OS=Escherichia coli (strain K12) GN=coaA PE=1 SV=1	coaA	36.31900734	H	Coenzyme transport and metabolism	METABOLISM
P08192	Bifunctional protein folC OS=Escherichia coli (strain K12) GN=folC PE=1 SV=2	folC	45.35943089	H	Coenzyme transport and metabolism	METABOLISM
P0ACB2	Delta-aminolevulinic acid dehydratase OS=Escherichia coli (strain K12) GN=hemB PE=1 SV=2	hemB	35.58387097	H	Coenzyme transport and metabolism	METABOLISM
P12281	Molybdopterin molybdenumtransferase OS=Escherichia coli (strain K12) GN=moeA PE=1 SV=1	moeA	44.0215614	H	Coenzyme transport and metabolism	METABOLISM
P19624	4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1	pdxA	35.07353746	H	Coenzyme transport and metabolism	METABOLISM
P0A7I7	GTP cyclohydrolase-2 OS=Escherichia coli (strain K12) GN=ribA PE=1 SV=1	ribA	21.80417238	H	Coenzyme transport and metabolism	METABOLISM
P61714	6,7-dimethyl-8-ribityllumazine synthase OS=Escherichia coli (strain K12) GN=ribH PE=1 SV=1	ribE	16.12857221	H	Coenzyme transport and metabolism	METABOLISM
P0A9B6	D-erythrose-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=epd PE=1 SV=2	epd	37.25820669	G	Carbohydrate transport and metabolism	METABOLISM
P0AEW9	1-phosphofructokinase OS=Escherichia coli (strain K12) GN=fruK PE=3 SV=1	fruK	33.71633963	G	Carbohydrate transport and metabolism	METABOLISM
P15977	4-alpha-glucanotransferase OS=Escherichia coli (strain K12) GN=malQ PE=3 SV=2	malQ	78.43523777	G	Carbohydrate transport and metabolism	METABOLISM
P77541	Methylisocitrate lyase OS=Escherichia coli (strain K12) GN=prpB PE=1 SV=3	prpB	32.0964598	G	Carbohydrate transport and metabolism	METABOLISM
P28904	Trehalose-6-phosphate hydrolase OS=Escherichia coli (strain K12) GN=treC PE=3 SV=3	treC	63.77912148	G	Carbohydrate transport and metabolism	METABOLISM
P77739	Uncharacterized protein yniA OS=Escherichia coli (strain K12) GN=yniA PE=3 SV=1	yniA	32.42023286	G	Carbohydrate transport and metabolism	METABOLISM
P39208	Thermosensitive gluconokinase OS=Escherichia coli (strain K12) GN=idnK PE=3 SV=1	idnK	20.97268635	G	Carbohydrate transport and metabolism	METABOLISM
P0A9J6	Ribokinase OS=Escherichia coli (strain K12) GN=rbsK PE=1 SV=1	rbsK	32.25284507	G	Carbohydrate transport and metabolism	METABOLISM
P22333	Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2	add	36.3567357	F	Nucleotide transport and metabolism	METABOLISM
P69503	Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1	apt	19.82864708	F	Nucleotide transport and metabolism	METABOLISM
P0A763	Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) GN=ndk PE=1 SV=2	ndk	15.43578265	F	Nucleotide transport and metabolism	METABOLISM
P0A7E9	Uridylate kinase OS=Escherichia coli (strain K12) GN=pyrH PE=1 SV=2	pyrH	25.9355313	F	Nucleotide transport and metabolism	METABOLISM
P10371	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Escherichia coli (strain K12) GN=hisA PE=1 SV=2	hisA	25.998573	E	Amino acid transport and metabolism	METABOLISM
P60595	Imidazole glycerol phosphate synthase subunit hisH OS=Escherichia coli (strain K12) GN=hisH PE=1 SV=1	hisH	21.62082603	E	Amino acid transport and metabolism	METABOLISM
P0A9L8	Pyrroline-5-carboxylate reductase OS=Escherichia coli (strain K12) GN=proC PE=1 SV=1	proC	28.10848308	E	Amino acid transport and metabolism	METABOLISM
P30744	L-serine dehydratase 2 OS=Escherichia coli (strain K12) GN=sdaB PE=1 SV=2	sdaB	48.70347312	E	Amino acid transport and metabolism	METABOLISM
P21169	Ornithine decarboxylase, constitutive OS=Escherichia coli (strain K12) GN=speC PE=1 SV=2	speC	79.34793229	E	Amino acid transport and metabolism	METABOLISM
P08390	USG-1 protein OS=Escherichia coli (strain K12) GN=usg PE=1 SV=1	usg	36.32347208	E	Amino acid transport and metabolism	METABOLISM
P0AB80	Branched-chain-amino-acid aminotransferase OS=Escherichia coli (strain K12) GN=ilvE PE=1 SV=2	ilvE	34.05410848	EH	Amino acid transport and metabolism	METABOLISM
P76316	D-cysteine desulfhydrase OS=Escherichia coli (strain K12) GN=dcyD PE=1 SV=4	dcyD	35.11319951	E	Amino acid transport and metabolism	METABOLISM
P76128	Probable D,D-dipeptide-binding periplasmic protein ddpA OS=Escherichia coli (strain K12) GN=ddpA PE=2 SV=1	ddpA	57.58718518	E	Amino acid transport and metabolism	METABOLISM
P63235	Probable glutamate/gamma-aminobutyrate antiporter OS=Escherichia coli (strain K12) GN=gadC PE=1 SV=1	gadC	55.02252596	E	Amino acid transport and metabolism	METABOLISM
P60651	Agmatinase OS=Escherichia coli (strain K12) GN=speB PE=1 SV=1	speB	33.51755834	E	Amino acid transport and metabolism	METABOLISM
P07913	L-threonine 3-dehydrogenase OS=Escherichia coli (strain K12) GN=tdh PE=1 SV=1	tdh	37.19683116	ER	Amino acid transport and metabolism	METABOLISM
P0A729	Maf-like protein yceF OS=Escherichia coli (strain K12) GN=yceF PE=3 SV=1	yceF	21.65917378	D	Cell cycle control, cell division, chromosome partitioning	CELLULAR PROCESSES AND SIGNALING
P0A9R4	2Fe-2S ferredoxin OS=Escherichia coli (strain K12) GN=fdx PE=1 SV=2	fdx	12.3048297	C	Energy production and conversion	METABOLISM
P0A9S5	Glycerol dehydrogenase OS=Escherichia coli (strain K12) GN=gldA PE=1 SV=1	gldA	38.66968853	C	Energy production and conversion	METABOLISM
P08201	Nitrite reductase [NAD(P)H] large subunit OS=Escherichia coli (strain K12) GN=nirB PE=3 SV=4	nirB	93.04421918	C	Energy production and conversion	METABOLISM
P45579	Uncharacterized oxidoreductase YbdH OS=Escherichia coli (strain K12) GN=ybdH PE=3 SV=2	ybdH	39.04932603	C	Energy production and conversion	METABOLISM
P33219	Protein yebF OS=Escherichia coli (strain K12) GN=yebF PE=1 SV=2	yebF	12.93555867	-		
P31063	Uncharacterized lipoprotein yedD OS=Escherichia coli (strain K12) GN=yedD PE=4 SV=1	yedD	14.95568129	-		
P0ADT8	Uncharacterized protein ygiM OS=Escherichia coli (strain K12) GN=ygiM PE=4 SV=1	ygiM	23.04413941	-		
P0A7A2	Probable phosphoglycerate mutase gpmB OS=Escherichia coli (strain K12) GN=gpmB PE=1 SV=1	gpmB	24.03225041	-		
P0A8S1	Chromosome initiation inhibitor OS=Escherichia coli (strain K12) GN=iciA PE=1 SV=1	iciA	33.43249089	-		
P68066	Autonomous glycyl radical cofactor OS=Escherichia coli (strain K12) GN=grcA PE=1 SV=1	grcA	14.25742275	-		
P24202	Mrr restriction system protein OS=Escherichia coli (strain K12) GN=mrr PE=1 SV=1	mrr	33.48123996	V	Defense mechanisms	CELLULAR PROCESSES AND SIGNALING
P0AGA2	Preprotein translocase subunit SecY OS=Escherichia coli (strain K12) GN=secY PE=1 SV=1	secY	48.46218023	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0ABV2	Biopolymer transport protein exbD OS=Escherichia coli (strain K12) GN=exbD PE=1 SV=1	exbD	15.49888005	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AG86	Protein-export protein SecB OS=Escherichia coli (strain K12) GN=secB PE=1 SV=1	secB	17.24823475	U	Intracellular trafficking, secretion, and vesicular transport	CELLULAR PROCESSES AND SIGNALING
P0AFB8	Nitrogen regulation protein NR(I) OS=Escherichia coli (strain K12) GN=glnG PE=3 SV=1	glnG	52.20425517	T	Signal transduction mechanisms	CELLULAR PROCESSES AND SIGNALING
